objective,concept_lane,slide,activity,cjm_function,item_type,remediation_target
"Identify family roles, structure, and functions",structure,S05,A school nurse notes that a 10-year-old regularly cooks dinner for younger siblings and reminds a parent to take medication. Which family role best describes this cue?,analyze cues,mcq,S06
Examine family dynamics,dynamics,S07,During a home visit the nurse observes a family. Which findings are cues of healthy family dynamics? Select all that apply.,recognize cues,sata,S07
Identify various factors that can lead to actual and potential family health problems,risk,S08,A parent asks why the clinic screens for several kinds of childhood adversity instead of 'the serious ones.' Which explanation is most accurate?,analyze cues,mcq,S08
Identify various factors that can lead to actual and potential family health problems,risk,S09,Parents who are separating ask the nurse what will protect their 7-year-old. Which teaching is consistent with the chapter?,generate solutions,mcq,S09
Compare and contrast parenting styles and behaviors,risk,S10,"Match each parent description to the parenting style. 1: warm, sets firm limits, explains the reasons. 2: warm, few limits. 3: strict, expects compliance without explanation. 4: neither warm nor demanding.",analyze cues,matching,S10
Compare and contrast parenting styles and behaviors,risk,S11,"A parent asks how to respond to a 4-year-old who throws food at dinner. Place the nurse's teaching in order: (a) follow through immediately, (b) state the rule and give a warning, (c) give positive attention when the child eats appropriately, (d) state the specific if-then consequence.",take action,ordering,S11
Identify the psychosocial effect of illness on a client and their family's health,strain,S13,Which statement by a family caregiver most clearly indicates caregiver role strain?,recognize cues,mcq,S13
Apply the nursing process to caring for a client in the context of the family,action,S15,An adult client's spouse answers every question during the admission interview. What should the nurse do first?,prioritize hypotheses,mcq,S15
Apply the nursing process to caring for a client in the context of the family,action,S16,During the general survey the nurse observes a parent speaking to the child with hostility and contempt. Which action does the chapter direct?,take action,mcq,S16
Apply the nursing process to caring for a client in the context of the family,action,S14,After a teaching session the outcome was 'the parent will describe three home safety risks.' At evaluation the parent names one. What is the nurse's next step?,evaluate outcomes,mcq,S14
